batch_id,timing,did_terr_incl,did_terr_excl
440,regular,3.8300366300366164,7.114871794871803
442,strategic,-31.824025747919414,-30.12975848730032
444,strategic,16.34198527921353,19.207470442410383
445,strategic,-23.967500648172155,-22.308848335572463
447,strategic,1.4411703933859457,5.58101988558154
448,strategic,-3.317412086036171,-10.457796322489386
449,regular,2.9503506279368494,2.238479556479561
450,regular,-2.514765751089783,-3.662024019418631
451,strategic,36.007962962962964,33.983850223850226
454,strategic,-19.246883757135436,-19.22079030725373
457,strategic,22.989793890320243,19.539122807017563
460,strategic,14.86754346466541,11.860452555574511
466,regular,-8.23056957092588,-10.126995188319235
468,strategic,-6.641567712384401,-5.166538326670874
470,strategic,-14.68536324786325,-21.71979797979799
474,regular,-1.5383094690912174,-11.190616391860338
479,regular,-1.6606090717792696,-6.280157301327506
480,regular,8.053502415458915,7.321886446886445
485,strategic,15.324904332904332,15.360695913304617
486,regular,29.234477041834374,33.410915538362346
487,regular,-5.447918552036207,-1.4724038461538598
489,strategic,-29.793884849906185,-34.95511227465534
491,strategic,7.636502408881448,9.279077412051556
492,regular,-8.23696741854635,-4.457692307692312
494,strategic,8.746451133612162,4.180443366869092
497,strategic,10.516960784313724,12.053802889576879
498,strategic,-5.506617647058825,12.73891806722689
499,regular,12.201393939393967,-2.022415584415583
500,regular,19.229265521905972,23.536649048625783
504,strategic,30.714435811599152,36.782614948050785
506,strategic,28.25683539574709,28.12819088217003
508,regular,5.657957746478871,10.143641826923073
509,strategic,6.037650793650769,1.3213293650793574
510,regular,-17.186971699611014,-22.207673453996996
512,strategic,18.58202336253651,27.30378531073447
517,strategic,5.991988782613788,1.8523073308270597
518,regular,-16.017820218996697,-6.352351190476178
520,strategic,-4.47808848362039,-2.400687830687822
521,strategic,-1.5202943298531437,-8.453210312338086
524,regular,5.032983047915586,4.720483047915579
536,regular,-11.509644835451283,-16.176242011956298
539,regular,-2.9190206284943088,-5.97928291316525
540,late,9.56401238790091,9.714872372372383
541,strategic,0.561381539002312,-6.1603898635477705
546,strategic,6.606749310693829,13.522550437178893
547,regular,-3.0798688473064075,-5.734342681271627
550,strategic,-5.259659945317857,-8.868672932330846
