block,timing,lam,snr,snr_sd,n_seeds,N_boot,value,lo95,hi95,note
curve_N73_early,strategic,0.185,1.5128,0.1176,24.0,73.0,,,,
curve_N73_early,strategic,0.19,1.535,0.1418,24.0,73.0,,,,
curve_N73_early,strategic,0.195,1.6007,0.1756,24.0,73.0,,,,
curve_N73_early,strategic,0.2,1.5887,0.1601,24.0,73.0,,,,
curve_N73_early,strategic,0.205,1.6058,0.1602,24.0,73.0,,,,
curve_N73_early,strategic,0.21,1.641,0.1734,24.0,73.0,,,,
curve_N73_early,strategic,0.215,1.6771,0.2039,24.0,73.0,,,,
curve_N73_early,strategic,0.22,1.6833,0.1815,24.0,73.0,,,,
curve_N73_early,strategic,0.225,1.7078,0.2182,24.0,73.0,,,,
curve_N73_early,strategic,0.23,1.7502,0.194,24.0,73.0,,,,
curve_N73_early,strategic,0.235,1.7159,0.1941,24.0,73.0,,,,
curve_N73_early,strategic,0.24,1.7618,0.2039,24.0,73.0,,,,
curve_N73_early,strategic,0.245,1.7934,0.2209,24.0,73.0,,,,
curve_N73_early,strategic,0.25,1.826,0.2078,24.0,73.0,,,,
curve_N73_early,strategic,0.255,1.8394,0.1997,24.0,73.0,,,,
curve_N73_early,strategic,0.26,1.866,0.1852,24.0,73.0,,,,
curve_N73_early,strategic,0.265,1.9213,0.2257,24.0,73.0,,,,
curve_N73_early,strategic,0.27,1.9211,0.2237,24.0,73.0,,,,
curve_N73_early,strategic,0.275,1.9397,0.2169,24.0,73.0,,,,
curve_N73_early,strategic,0.28,1.9689,0.2055,24.0,73.0,,,,
curve_N73_early,strategic,0.285,1.9823,0.2235,24.0,73.0,,,,
curve_N73_early,strategic,0.29,2.0215,0.2231,24.0,73.0,,,,
curve_N73_early,strategic,0.295,2.0094,0.258,24.0,73.0,,,,
curve_N73_early,strategic,0.3,2.0268,0.2557,24.0,73.0,,,,
early_equiv_bound,strategic,,1.052,,,,0.049,,,lam50: mean-curve crossing; N_boot=73
early_equiv_bound,strategic,,1.052,,,,0.0933,,,"lam97.5: (mean-1.96SD) crossing, normal approx; empirical(>=1/24 seeds)=0.105"
